LON,LAT,NOMBRE,DIRECCION,BARRIO
-3.520486375992003,40.328382883014037,1 Bicinrivas. Metro Rivas Vacimadrid,"Cl. Wenceslao, s/n",Este
-3.525362111108986,40.341796785788041,2 Bicinrivas. Metro Rivas Futura,Av. José Hierro,Centro
-3.534378866077253,40.349768712121858,3 Bicinrivas.. Empresa Municipal de la Vivienda,"Av. José Hierro, 36",Centro
-3.547853730783959,40.354863183169918,4 Bicinrivas. Ayuntamiento,Pz. de la Constitución,Centro
-3.547996186385366,40.367036480674024,5 Bicinrivas. Metro Rivas Urbanizaciones,CL. Abogados de Atocha s/n,Oeste
-3.534000199282354,40.360610725920964,6 Bicinrivas. Centro Comercial Santa Mónica,"Cl. Acacias, 120",Centro
-3.517558568331928,40.356472250943739,7 Bicinrivas. Zona Cerro del TelÃ©grafo,Av. Pilar Miró,Centro
-3.512073983692777,40.328677093250398,8 Bicinrivas. Rivas Casco Antiguo,Av. Levante,Este
-3.531802468139709,40.371545841733081,9 Bicinrivas. Paseo de las Provincias,"Av. de los Almendros, 198",Oeste
-3.539708974465903,40.377375370751359,10 Bicinrivas. Barrio de la Luna,Cl. Margarita Xirgu con Madres de la Plaza de Mayo,Oeste
